Parameter;Value;Units
device_id;ElNetPQ;
Voltage Line 1;223.62289428710938;Volts
Voltage Line 2;0.0;Volts
Voltage Line 3;0.0;Volts
Voltage between line 1 and Line 2;223.6138458251953;Volts
Voltage between line 2 and Line 3;0.0;Volts
Voltage between line 3 and Line 1;223.61383056640625;Volts
Current in Line 1;1.755141019821167;Amps
Current in Line 2;0.0;Amps
Current in Line 3;0.0;Amps
Active Power Line 1;178.53024291992188;Watts
Active Power Line 2;0.0;Watts
Active Power Line 3;0.0;Watts
Total Active Power Line 1+2+3;164.69468688964844;Watts
Apparent Total Energy;282367.25;Vah
